〖ZQ/总期〗14710〖-ZQ/总期〗
〖RQ/日期〗19980420〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗12〖-TH/条号〗
〖BT/标题〗甲A积分榜〖-BT/标题〗
〖BM/版名〗国际体育〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    甲A积分榜
    队名 场次 胜 平 负 积分
    大连 6 5 1 0 16
    四川 6 3 3 0 12
    青岛 6 3 1 2 10
    八一 6 3 0 3 9
    上海 6 2 3 1 9
    前卫 6 2 2 2 8
    松日 6 2 2 2 8
    武汉 6 2 1 3 7
    北京 4 1 3 0 6
    太阳神 6 1 3 2 6
    山东 5 1 2 2 5
    沈阳 6 1 2 3 5
    延边 5 1 1 3 4
    深圳 6 0 2 4 2
〖-ZW/正文〗
