〖ZQ/总期〗14124〖-ZQ/总期〗
〖RQ/日期〗19960911〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗10〖-TH/条号〗
〖BT/标题〗甲A联赛积分表〖-BT/标题〗
〖TC/体裁〗其他〖-TC/体裁〗
〖ZW/正文〗
    队名  胜  平  负 积分
    大连  10  5  0 35
    太阳神 7  6  2 27
    上海  6  8  1 26
    八一  5  9  1 24
    北京  6  5  4 23
    广东  4  9  2 21
    四川  4  6  5 18
    济南  4  5  6 17
    天津  3  6  6 15
    深圳  2  4  9 10
    松日  1  6  8  9
    延边  1  5  9  8
〖-ZW/正文〗
