〖ZQ/总期〗14143〖-ZQ/总期〗
〖RQ/日期〗19960930〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗13〖-TH/条号〗
〖BT/标题〗甲A联赛积分榜〖-BT/标题〗
〖GJ/关键〗积分榜〖-GJ/关键〗
〖TC/体裁〗其他〖-TC/体裁〗
〖ZW/正文〗
    队名   胜  平  负  积分
    大连  11  7  0  40
    上海   8  8  2  32
    八一   7  10  1  31
    太阳神  7  6  5  27
    北京   7  6  5  27
    济南   7  5  6  26
    四川   6  6  6  24
    广东   4  10  4  22
    天津   4  7  7  19
    延边   3  5  10  14
    深圳   2  5  11  11
    松日   1  7  10  10
〖-ZW/正文〗
